x,y,hh_id,hh_pop,villagename,latitude,longitude,region_nam,region_cod,constituen,constitue1,ea_type,ea_subtype,ea_type_co,ea_subty_1,ea_code,ea,id2,sq_m,sq_km,ha,status,ea_no,_a_subtype,region,constitue,_a_no,hh_size,pop_size,comments,history,eanumber,arm2,eanumber2,eas_studya,eas_stud_1,eas_stud_2,eas_stud_3,eas_stud_4,eas_stud_5,eas_stud_6,eas_stud_7,eas_stud_8,eas_stud_9,eas_stud10,eas_stud11,eas_stud12,eas_stud13,eas_stud14,eas_stud15,eas_stud16,eas_stud17,eas_stud18,eas_stud19,eas_stud20,eas_stud21,eas_stud22,eas_stud23,eas_stud24,eas_stud25,eas_stud26,eas_stud27,eas_stud28,ea_actual,intarm_actual,eas_stud31,eas_stud32,eas_stud33,eas_stud34,eas_stud35,eas_stud36,eas_stud37
23.589451,-18.246367,ZA07-0696-02,6,Mbambazi,-18.24637,23.589451,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,10599037,Communal Land,Caprivi,Linyanti,10599037,33,141,,,10599037,1,10599037,121,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,Communal Land,Caprivi,Linyanti,10599037,33,141,,,0,0,0,0,122,TO23,TO,23,Communal Land,10599037,10599037,1,10599037,matched (3)
23.589302,-18.246527,ZA07-0697-01,3,Mbambazi,-18.246531,23.5893,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,10599037,Communal Land,Caprivi,Linyanti,10599037,33,141,,,10599037,1,10599037,121,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,Communal Land,Caprivi,Linyanti,10599037,33,141,,,0,0,0,0,122,TO23,TO,23,Communal Land,10599037,10599037,1,10599037,matched (3)
23.588652,-18.246838,ZA07-0698-10,2,Mbambazi,-18.24684,23.58865,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,10599037,Communal Land,Caprivi,Linyanti,10599037,33,141,,,10599037,1,10599037,121,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,Communal Land,Caprivi,Linyanti,10599037,33,141,,,0,0,0,0,122,TO23,TO,23,Communal Land,10599037,10599037,1,10599037,matched (3)
23.587938,-18.24684,ZA07-0699-09,5,Mbambazi,-18.24684,23.58794,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,10599037,Communal Land,Caprivi,Linyanti,10599037,33,141,,,10599037,1,10599037,121,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,Communal Land,Caprivi,Linyanti,10599037,33,141,,,0,0,0,0,122,TO23,TO,23,Communal Land,10599037,10599037,1,10599037,matched (3)
23.58853,-18.246525,ZA07-0700-06,4,Mbambazi,-18.246519,23.58853,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,10599037,Communal Land,Caprivi,Linyanti,10599037,33,141,,,10599037,1,10599037,121,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,Communal Land,Caprivi,Linyanti,10599037,33,141,,,0,0,0,0,122,TO23,TO,23,Communal Land,10599037,10599037,1,10599037,matched (3)
23.590282,-18.245277,ZA07-0701-05,2,Mbambazi,-18.245279,23.590281,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,10599037,Communal Land,Caprivi,Linyanti,10599037,33,141,,,10599037,1,10599037,121,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,Communal Land,Caprivi,Linyanti,10599037,33,141,,,0,0,0,0,122,TO23,TO,23,Communal Land,10599037,10599037,1,10599037,matched (3)
23.590412,-18.245024,ZA07-0702-04,6,Mbambazi,-18.24502,23.59041,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,10599037,Communal Land,Caprivi,Linyanti,10599037,33,141,,,10599037,1,10599037,121,Caprivi,1,5,Linyanti,Rural,,99,,37,10599037,249,1630360.6,1.63,163.03999,,Communal Land,Caprivi,Linyanti,10599037,33,141,,,0,0,0,0,122,TO23,TO,23,Communal Land,10599037,10599037,1,10599037,matched (3)
23.543713,-18.227264,ZA07-0703-03,3,Mambali,-18.227261,23.543711,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,10599033,Communal Land,Caprivi,Linyanti,10599033,47,165,,,10599033,4,10599033,117,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,Communal Land,Caprivi,Linyanti,10599033,47,165,,,0,0,0,0,118,RO21,RO,21,Communal Land,10599033,10599033,4,10599033,matched (3)
23.543184,-18.227104,ZA07-0704-02,2,Mambali,-18.2271,23.54318,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,10599033,Communal Land,Caprivi,Linyanti,10599033,47,165,,,10599033,4,10599033,117,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,Communal Land,Caprivi,Linyanti,10599033,47,165,,,0,0,0,0,118,RO21,RO,21,Communal Land,10599033,10599033,4,10599033,matched (3)
23.543257,-18.227585,ZA07-0705-01,4,Mambali,-18.227591,23.543261,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,10599033,Communal Land,Caprivi,Linyanti,10599033,47,165,,,10599033,4,10599033,117,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,Communal Land,Caprivi,Linyanti,10599033,47,165,,,0,0,0,0,118,RO21,RO,21,Communal Land,10599033,10599033,4,10599033,matched (3)
23.543585,-18.227818,ZA07-0706-10,5,Mambali,-18.227819,23.543591,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,10599033,Communal Land,Caprivi,Linyanti,10599033,47,165,,,10599033,4,10599033,117,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,Communal Land,Caprivi,Linyanti,10599033,47,165,,,0,0,0,0,118,RO21,RO,21,Communal Land,10599033,10599033,4,10599033,matched (3)
23.543644,-18.226822,ZA07-0707-09,7,Mambali,-18.22682,23.54364,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,10599033,Communal Land,Caprivi,Linyanti,10599033,47,165,,,10599033,4,10599033,117,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,Communal Land,Caprivi,Linyanti,10599033,47,165,,,0,0,0,0,118,RO21,RO,21,Communal Land,10599033,10599033,4,10599033,matched (3)
23.543058,-18.227104,ZA07-0708-08,7,Kangongo,-18.2271,23.54306,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,10599033,Communal Land,Caprivi,Linyanti,10599033,47,165,,,10599033,4,10599033,117,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,Communal Land,Caprivi,Linyanti,10599033,47,165,,,0,0,0,0,118,RO21,RO,21,Communal Land,10599033,10599033,4,10599033,matched (3)
23.542919,-18.227243,ZA07-0709-07,2,Mambali,-18.22724,23.542919,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,10599033,Communal Land,Caprivi,Linyanti,10599033,47,165,,,10599033,4,10599033,117,Caprivi,1,5,Linyanti,Rural,,99,,33,10599033,245,2428518.8,2.4300001,242.85001,,Communal Land,Caprivi,Linyanti,10599033,47,165,,,0,0,0,0,118,RO21,RO,21,Communal Land,10599033,10599033,4,10599033,matched (3)
