Longitude,Latitude
35.7296100614522,-6.19766866546584
35.7324661957571,-6.19768484460306
35.7315180205846,-6.19854022533198
35.72902925,-6.19766085
35.7312453,-6.19889985
35.7297477,-6.1978418
35.73286415,-6.19705815
35.732483464857,-6.19701944690409
35.72944045,-6.1990933
35.73027495,-6.19915425
35.7300428752222,-6.19840527374376
35.7294026665041,-6.19865007528586
35.7320400350798,-6.19693807733432
35.7328200810124,-6.19738109023512
35.7289416252551,-6.19721855654835
35.7331351656473,-6.1974373945909
35.7324246658985,-6.19667654825359
35.7297322299271,-6.1984168620894
35.7290051,-6.1978468
35.7289787,-6.19817965
35.730030978894,-6.19955086499007
35.729578142145,-6.19881732104685
35.73012635,-6.1987268
35.72983175,-6.19855055
35.73224745,-6.1969997
35.7289781252703,-6.1974687048954
35.7303353561173,-6.19879633317212
35.72965905,-6.1995619
35.7296375814328,-6.19738832513632
35.7296484708558,-6.19854047051067
35.7296112635182,-6.19862607099784
35.7302541366046,-6.19903482452184
35.7298460616118,-6.19863480338594
35.7320923655256,-6.1975332518311
35.7313100640843,-6.19736595493573
35.72942010573,-6.19855702893693
35.7311672859492,-6.19804226157064
35.7319509430034,-6.19819866990469
35.7317526847559,-6.19691733982258
35.7299551436267,-6.19796983082265
35.7290607989155,-6.19843781229543
35.7291331015781,-6.1997268827905
35.7294913832146,-6.20024099941334
35.7292912126211,-6.19937937384796
35.72873035,-6.1993541
35.7296613832834,-6.20086569991443
35.7290227,-6.20037605
35.7288892332432,-6.2001043582715
35.7289472,-6.19936275
35.728747,-6.19882575
35.72976385,-6.1998951
35.7288066019449,-6.19983033329449
35.72861675,-6.1977864
35.728579575126,-6.19714488665069
35.7288367747946,-6.19850510405269
35.7296764392856,-6.20055136737496
35.7291783826283,-6.20067852577354
35.7291331153135,-6.19906662639282
35.7290536426746,-6.19876572242099
35.7312016940735,-6.19845797141104
35.7315120228052,-6.19633359967265
35.731888906922,-6.1964654745933
35.7314918,-6.1969541
35.73237595,-6.19588025
