Longitude,Latitude
-122.36980185,37.8173921
-122.367792625542,37.8184826162568
-122.366309565054,37.8219772527108
-122.36683204538,37.8227598856442
-122.367429423162,37.8223617185435
-122.365351802358,37.8208110161556
-122.36883465,37.82301585
-122.369130099412,37.8217873839231
-122.37020847064,37.8214244928345
-122.371860178426,37.8214273712674
-122.372964952438,37.821040890703
-122.37380834649,37.8223113485649
-122.372902859779,37.822966056275
-122.372405919837,37.8222963271022
-122.371904884487,37.8254643626355
-122.368797188888,37.824414061174
-122.367551233014,37.8246994769825
-122.367137163962,37.8241724412018
-122.3657511,37.8243883
-122.3658715,37.8245522
-122.365277323308,37.8251650876478
-122.365319250059,37.8231998167003
-122.365281142341,37.8234839604166
-122.36598545,37.8214333
-122.365871426561,37.8193731694656
-122.370982812753,37.817181029436
-122.369623764183,37.8205982362834
-122.369885299179,37.8262286761123
-122.3703803959,37.8269375626848
-122.368520278058,37.8264519178279
-122.367579245617,37.8267492306898
-122.367105117179,37.8273962693166
-122.3670814,37.82705765
-122.367683188555,37.827643220324
-122.368014881075,37.8280379945799
-122.368465080604,37.828592359763
-122.369958247412,37.8278937821824
-122.369745017799,37.827717843686
-122.373882443417,37.8269811318062
-122.374043806588,37.8272258681945
-122.374359543417,37.8270929318062
-122.37453275,37.82733205
-122.3705594,37.8293972
-122.37210473174,37.8196504251051
-122.37361405,37.81941325
-122.371426671551,37.8314951949145
-122.359355685748,37.8146934548929
-122.378234528582,37.8267144262049
-122.37722326273,37.8265667756589
-122.375047834862,37.8249868987928
-122.375192557889,37.8266805057968
-122.375805335831,37.8266203836671
-122.374251952908,37.8247133989696
-122.374792760495,37.8246636158981
-122.37545145557,37.8248172484008
-122.374437160794,37.8264805947199
-122.375999534015,37.8241100902949
-122.377066628093,37.8243394888349
-122.375879356292,37.8262335296562
-122.373887658295,37.8238856530547
-122.376468329508,37.8235809233507
-122.376161390512,37.8257494623391
-122.375509212302,37.8260253491063
-122.374639506187,37.8267945506305
-122.37647708587,37.8263725712111
-122.374679671709,37.8235542775159
-122.377276971823,37.8254794509561
-122.374988566188,37.8271975049041
-122.376337432619,37.8249351310169
-122.375140264148,37.8241863217501
-122.376362901028,37.826069465365
-122.37572165,37.82533875
-122.37452051103,37.8244034215048
-122.373354507709,37.8244342571512
-122.374568282313,37.8251813985213
-122.376455537963,37.8243831685299
-122.374843737063,37.8263119699357
-122.377737052764,37.8263947014938
-122.376669616056,37.8268197785286
-122.375369394378,37.8264995302042
-122.373924701862,37.8243097424091
-122.375756285328,37.8259201740911
-122.374321276296,37.824139331531
-122.37671412564,37.8257840748189
-122.375181464253,37.8244984033227
-122.375491063978,37.8238173833994
-122.374865617634,37.8239096080197
-122.377680130762,37.825550949282
-122.375951133326,37.8236292364212
-122.375081766141,37.8262018794473
-122.376236671128,37.8267199794309
-122.373487709846,37.8240660239312
-122.37428697962,37.8237206255573
-122.376303297437,37.8286532786756
-122.374090123724,37.8296304614604
-122.376940791682,37.8261502076514
-122.373033944268,37.8289630517333
-122.375599582098,37.8292919172192
-122.376200168207,37.8298586281047
-122.374821115668,37.8307412073258
-122.37674279082,37.8253403986512
-122.375944682612,37.8304655674441
-122.376786579758,37.823913481724
-122.372605121842,37.8310767982446
-122.374347236294,37.8308003901953
-122.374846134437,37.8303001219311
-122.376469608192,37.8302476675867
-122.377037797431,37.8290087242447
-122.376303683222,37.8307365709335
-122.375236888707,37.8302195333189
-122.373895176297,37.8303816325316
-122.374015418153,37.8312725897403
-122.373403078953,37.8313919493733
-122.373460728889,37.8302692342156
-122.373073022322,37.8300812939934
-122.376538911762,37.8295979313463
-122.374381471696,37.8303559031923
-122.372440156234,37.8305959360627
-122.375146903688,37.8294659935096
-122.377763580323,37.8292678150107
-122.374593413969,37.8289102058586
-122.377185882125,37.8301575491592
-122.375706059542,37.8309271597378
-122.374609836301,37.8292760110948
-122.37399958001,37.8292526027239
-122.376863043773,37.8305011621827
-122.375695610348,37.8301007490585
-122.375288556415,37.8306904701475
-122.373059844115,37.831025595757
-122.377509966306,37.8289707267249
-122.375173436986,37.8289757070679
-122.374027389703,37.8288840514358
-122.371619466294,37.8294851264321
-122.374556872216,37.8296558421658
-122.378297701305,37.8276787819398
-122.374643066705,37.8278124999552
-122.377534821358,37.8296732364734
-122.376663318261,37.8280542009936
-122.373419422532,37.8247588222177
-122.377198488902,37.8274782932124
-122.371705955792,37.8300406953698
-122.37651035,37.82738835
-122.377340368093,37.8247673071059
-122.3772421,37.82857885
-122.373526271992,37.828871313074
-122.374384014508,37.831533461363
-122.373880208844,37.831745352321
-122.378507841582,37.827282471354
-122.3764078,37.8283756
-122.375594301545,37.8282608817968
-122.376189283369,37.8279336000185
-122.374072485098,37.8245156879534
-122.368706582717,37.8272469074692
-122.375798682345,37.8286409513751
-122.372848492088,37.8315664120012
-122.378100309692,37.8284362800378
-122.377066771667,37.8295382410455
-122.377425206375,37.828114688377
-122.376963183301,37.8298321985914
-122.3766706,37.8293145
-122.376077201545,37.8281842817968
-122.374758261169,37.8311928520454
-122.376060983363,37.8245087764668
-122.375475686651,37.8272473919059
-122.376470781504,37.8276783896837
-122.372921368538,37.8306036261677
-122.375293976434,37.8282671514239
-122.37673089396,37.8248107694532
-122.376934381273,37.8282452485049
-122.377822267063,37.8281120445545
-122.376793605139,37.8271549906402
-122.376755081744,37.8285153490105
-122.376610913525,37.8288531601076
-122.373882425661,37.8252398895968
-122.375939940119,37.827548282564
-122.377630651537,37.8275999515058
-122.375187560826,37.82788331857
-122.37700885,37.8278066
